 #dt   t[ps]   msd [nm^2/ps]   D    sum_D
           1   2.00000009E-03   7.64070312E-03  0.636725247       0.00000000    
           2   4.00000019E-03   1.52407140E-02  0.635029733       0.00000000    
           3   6.00000005E-03   2.28111837E-02  0.633644044       0.00000000    
           4   8.00000038E-03   3.03454809E-02  0.632197499       0.00000000    
           5   1.00000007E-02   3.78247052E-02  0.630411744       0.00000000    
           6   1.20000001E-02   4.37783413E-02  0.608032525       0.00000000    
           7   1.40000004E-02   4.97207791E-02  0.591913998       0.00000000    
           8   1.60000008E-02   5.56531288E-02  0.579720080       0.00000000    
           9   1.80000011E-02   6.15808479E-02  0.570192993       0.00000000    
          10   2.00000014E-02   6.75115585E-02  0.562596321       0.00000000    
          11   2.20000017E-02   7.12974146E-02  0.540131867       0.00000000    
          12   2.40000002E-02   7.50926435E-02  0.521476686       0.00000000    
          13   2.60000005E-02   7.88979083E-02  0.505755842       0.00000000    
          14   2.80000009E-02   8.27163905E-02  0.492359430       0.00000000    
          15   3.00000012E-02   8.65459442E-02  0.480810791       0.00000000    
          16   3.20000015E-02   8.86718705E-02  0.461832643       0.00000000    
          17   3.40000018E-02   9.08092335E-02  0.445143282       0.00000000    
          18   3.60000022E-02   9.29581076E-02  0.430361569       0.00000000    
          19   3.80000025E-02   9.51183289E-02  0.417185634       0.00000000    
          20   4.00000028E-02   9.72858816E-02  0.405357838       0.00000000    
          21   4.20000032E-02   9.87966657E-02  0.392050207       0.00000000    
          22   4.40000035E-02  0.100315958      0.379984647       0.00000000    
          23   4.60000038E-02  0.101838984      0.368981808       0.00000000    
          24   4.80000004E-02  0.103364199      0.358903497       0.00000000    
          25   5.00000007E-02  0.104889818      0.349632710       0.00000000    
          26   5.20000011E-02  0.106366605      0.340918601       0.00000000    
          27   5.40000014E-02  0.107844085      0.332852125       0.00000000    
          28   5.60000017E-02  0.109319635      0.325356036       0.00000000    
          29   5.80000021E-02  0.110794544      0.318375111       0.00000000    
          30   6.00000024E-02  0.112266831      0.311852306       0.00000000    
          31   6.20000027E-02  0.113873124      0.306110531       0.00000000    
          32   6.40000030E-02  0.115476899      0.300721079       0.00000000    
          33   6.59999996E-02  0.117077798      0.295651019       0.00000000    
          34   6.80000037E-02  0.118675798      0.290872037       0.00000000    
          35   7.00000003E-02  0.120272368      0.286362767       0.00000000    
          36   7.20000044E-02  0.121961787      0.282318920       0.00000000    
          37   7.40000010E-02  0.123647965      0.278486401       0.00000000    
          38   7.60000050E-02  0.125333264      0.274853647       0.00000000    
          39   7.80000016E-02  0.127016649      0.271403104       0.00000000    
          40   8.00000057E-02  0.128709167      0.268144101       0.00000000    
          41   8.20000023E-02  0.130394354      0.265029162       0.00000000    
          42   8.40000063E-02  0.132075980      0.262055486       0.00000000    
          43   8.60000029E-02  0.133758560      0.259222001       0.00000000    
          44   8.80000070E-02  0.135444060      0.256522804       0.00000000    
          45   9.00000036E-02  0.137125969      0.253936976       0.00000000    
          46   9.20000076E-02  0.138719022      0.251302570       0.00000000    
          47   9.40000042E-02  0.140308052      0.248773143       0.00000000    
          48   9.60000008E-02  0.141902998      0.246359378       0.00000000    
          49   9.80000049E-02  0.143500701      0.244048789       0.00000000    
          50  0.100000001      0.145096228      0.241827041       0.00000000    
          51  0.102000006      0.146532059      0.239431456       0.00000000    
          52  0.104000002      0.147971585      0.237133950       0.00000000    
          53  0.106000006      0.149408504      0.234919012       0.00000000    
          54  0.108000003      0.150851056      0.232794836       0.00000000    
          55  0.110000007      0.152295440      0.230750665       0.00000000    
          56  0.112000003      0.153637916      0.228627831       0.00000000    
          57  0.114000008      0.154980004      0.226578951       0.00000000    
          58  0.116000004      0.156323493      0.224602699       0.00000000    
          59  0.118000008      0.157661453      0.222685650       0.00000000    
          60  0.120000005      0.159008756      0.220845491       0.00000000    
